7;78;2025-12-14 16:25:12;2;70.0
8;89;2025-12-14 17:05:30;2;16.0
9;104;2025-12-15 09:10:15;2;90.0
11;126;2025-12-15 11:55:00;2;90.0
12;134;2025-12-15 13:15:45;2;50.0
13;142;2025-12-15 14:30:10;1;15.0
14;156;2025-12-15 15:45:33;1;45.0
15;165;2025-12-15 16:20:50;1;45.0
16;175;2025-12-16 09:25:12;2;10.0
17;180;2025-12-16 10:15:40;1;45.0
18;190;2025-12-16 11:30:55;1;85.0
19;198;2025-12-16 12:45:10;1;12.0
20;205;2025-12-16 14:00:25;2;70.0
21;18;2025-12-16 15:10:00;2;10.0
22;32;2025-12-16 16:30:45;1;120.0
23;42;2025-12-17 09:40:20;1;7.0
24;58;2025-12-17 10:55:30;1;25.0
25;74;2025-12-17 12:10:15;2;50.0
26;93;2025-12-17 13:25:50;1;45.0
27;110;2025-12-17 14:40:05;1;85.0
28;122;2025-12-17 15:55:12;2;16.0
29;138;2025-12-18 09:15:30;1;18.0
30;150;2025-12-18 10:30:45;2;14.0
31;160;2025-12-18 11:45:22;3;45.0
33;210;2025-12-18 14:15:55;2;16.0
35;19;2025-12-17 21:26:35;2;12.0
36;20;2025-12-17 21:26:35;1;12.0
37;21;2025-12-17 21:26:35;2;240.0
38;25;2025-12-17 21:26:35;1;18.0
39;13;2025-12-17 21:33:26;2;170.0
40;14;2025-12-17 21:33:26;1;120.0
41;15;2025-12-17 21:33:26;2;25.0
42;16;2025-12-17 21:33:26;3;105.0
43;17;2025-12-17 21:33:26;3;24.0
44;18;2025-12-17 21:33:26;2;10.0
45;46;2025-12-17 23:53:39;1;18.0
46;231;2025-12-20 11:33:03;1;4.99
47;232;2025-12-20 11:33:03;1;6.5
48;34760;2026-01-14 16:14:50;10;61.75
49;34761;2026-01-14 16:14:50;1;0.8118
