1;14-01-2026 14:05:12;12;8;4;70.0;2026-01-14 14:05:12;Stock replenishment alert: Dairy section
2;14-01-2026 14:10:45;25;15;10;30.0;2026-01-14 14:10:45;Weekend clearance sale performance
3;14-01-2026 14:15:22;8;2;6;90.0;2026-01-14 14:15:22;Expired discount tags removal list
4;14-01-2026 14:20:01;40;35;5;50.0;2026-01-14 14:20:01;Buy-one-get-one promotion audit
5;14-01-2026 14:25:30;15;12;3;10.0;2026-01-14 14:25:30;Seasonal fruit price adjustment
6;14-01-2026 14:30:55;50;20;30;80.0;2026-01-14 14:30:55;Loyalty program member activity
7;14-01-2026 14:35:14;5;5;0;40.0;2026-01-14 14:35:14;New vendor onboarding summary
8;14-01-2026 14:40:08;18;9;9;60.0;2026-01-14 14:40:08;Frozen food storage temp log
9;14-01-2026 14:45:19;32;30;2;100.0;2026-01-14 14:45:19;High-demand beverage restocking
10;14-01-2026 14:50:42;10;4;6;20.0;2026-01-14 14:50:42;End-of-shift cash reconciliation
