1;9;2025-12-10 09:15:22;18;455.0
2;0;2025-12-10 09:34:11;14;235.0
3;18;2025-12-10 10:05:45;21;680.5
4;9;2025-12-10 10:12:30;25;890.0
5;18;2025-12-10 10:45:18;12;310.0
6;0;2025-12-10 11:02:55;19;540.5
7;9;2025-12-10 11:25:40;30;920.0
8;18;2025-12-10 11:55:12;8;150.0
9;0;2025-12-10 12:15:33;22;600.0
10;9;2025-12-10 12:40:20;16;410.5
11;18;2025-12-10 13:10:05;28;780.0
12;0;2025-12-10 13:35:50;15;395.0
13;9;2025-12-10 14:05:15;20;560.0
14;18;2025-12-10 14:25:44;11;290.5
15;0;2025-12-10 14:55:30;24;710.0
16;9;2025-12-10 15:15:10;17;430.0
17;18;2025-12-10 15:45:55;13;340.0
18;0;2025-12-10 16:10:22;26;820.5
19;9;2025-12-10 16:35:40;29;895.0
20;18;2025-12-10 17:05:18;10;250.0
21;0;2025-12-10 17:25:33;23;650.0
22;9;2025-12-10 17:55:12;19;510.5
23;18;2025-12-10 18:15:45;27;760.0
24;0;2025-12-10 18:40:20;14;380.0
25;9;2025-12-10 19:10:05;21;590.0
26;18;2025-12-10 19:35:50;25;720.5
27;0;2025-12-10 20:05:15;16;440.0
28;9;2025-12-10 20:25:44;12;320.0
29;18;2025-12-10 20:55:30;30;950.0
30;0;2025-12-10 21:15:10;18;490.5
31;9;2025-12-11 09:10:22;22;620.0
32;18;2025-12-11 09:35:40;15;405.0
33;0;2025-12-11 10:05:18;20;550.0
34;9;2025-12-11 10:25:33;13;360.5
35;18;2025-12-11 10:55:12;28;810.0
36;0;2025-12-11 11:15:45;17;470.0
37;9;2025-12-11 11:40:20;24;680.0
38;18;2025-12-11 12:10:05;11;300.5
39;0;2025-12-11 12:35:50;26;740.0
40;9;2025-12-11 13:05:15;19;530.0
41;18;2025-12-11 13:25:44;23;640.5
42;0;2025-12-11 13:55:30;14;370.0
43;9;2025-12-11 14:15:10;29;850.0
44;18;2025-12-11 14:45:55;16;460.0
45;0;2025-12-11 15:10:22;21;600.5
46;9;2025-12-11 15:35:40;10;280.0
47;18;2025-12-11 16:05:18;25;700.0
48;0;2025-12-11 16:25:33;18;500.0
49;9;2025-12-11 16:55:12;12;330.5
50;18;2025-12-11 17:15:45;27;770.0
51;0;2025-12-11 17:40:20;15;420.0
52;9;2025-12-11 18:10:05;22;610.0
53;18;2025-12-11 18:35:50;30;910.5
54;0;2025-12-11 19:05:15;13;350.0
55;9;2025-12-11 19:25:44;20;570.0
56;18;2025-12-11 19:55:30;17;480.5
57;0;2025-12-11 20:15:10;24;690.0
58;9;2025-12-11 20:45:55;19;520.0
59;18;2025-12-11 21:10:22;26;750.0
60;0;2025-12-11 21:35:40;14;390.5
61;9;2025-12-12 09:15:18;28;800.0
62;18;2025-12-12 09:35:33;11;310.0
63;0;2025-12-12 10:05:12;23;660.0
64;9;2025-12-12 10:25:45;16;450.5
65;18;2025-12-12 10:55:20;29;840.0
66;0;2025-12-12 11:15:05;12;340.0
