1;1;113;4;85.64;0
2;1;106;9;93.64;0
3;1;109;5;14.81;4
4;1;116;8;31.81;0
5;2;110;8;87.41;0
6;2;113;10;85.64;0
7;2;111;6;34.02;0
8;3;114;10;31.92;0
9;3;106;10;93.64;0
10;4;115;3;21.03;0
11;4;110;10;87.41;0
12;4;106;6;93.64;0
13;4;118;5;11.11;0
14;4;112;2;11.48;0
15;5;103;8;93.05;0
16;5;111;7;34.02;0
17;6;109;4;14.81;2
18;6;103;6;93.05;0
19;7;106;6;93.64;0
20;7;102;7;16.63;0
21;7;116;1;31.81;1
22;7;105;4;86.64;0
23;8;113;5;85.64;0
24;8;101;5;44.35;0
25;8;116;4;31.81;0
26;8;102;8;16.63;0
27;8;111;3;34.02;0
28;8;109;6;14.81;0
29;9;112;10;11.48;0
30;9;101;1;44.35;0
31;9;108;5;11.73;0
32;9;105;9;86.64;0
33;9;113;2;85.64;0
34;10;109;4;14.81;0
35;10;102;4;16.63;0
36;10;108;6;11.73;0
37;11;108;4;11.73;0
38;11;117;2;94.29;0
39;11;111;10;34.02;0
40;11;101;2;44.35;0
41;11;116;2;31.81;0
42;12;105;5;86.64;0
43;13;115;4;21.03;0
44;13;101;1;44.35;0
45;13;116;6;31.81;0
46;14;114;4;31.92;0
47;14;105;5;86.64;0
48;14;109;6;14.81;0
49;14;107;2;77.21;0
50;14;110;4;87.41;0
51;14;101;9;44.35;0
52;15;115;2;21.03;0
53;15;113;3;85.64;0
54;15;112;3;11.48;0
55;15;116;8;31.81;0
56;15;108;9;11.73;0
57;16;116;6;31.81;0
58;17;118;10;11.11;0
59;17;102;4;16.63;0
60;17;115;1;21.03;0
61;18;114;3;31.92;2
62;19;101;10;44.35;0
63;19;103;6;93.05;0
64;19;105;9;86.64;0
65;19;109;9;14.81;0
66;19;102;9;16.63;0
67;20;110;2;87.41;0
68;20;101;3;44.35;0
69;20;111;5;34.02;1
70;21;108;9;11.73;0
71;21;115;10;21.03;0
72;22;101;7;44.35;0
73;22;113;8;85.64;0
74;22;102;1;16.63;0
75;22;112;4;11.48;0
76;22;106;7;93.64;0
77;23;116;7;31.81;0
78;23;118;3;11.11;0
79;24;112;3;11.48;0
80;24;110;10;87.41;0
